symbol,shares
CAH,5883606
CAI,229997
CAI$A,3285
CAI$B,2451
CAJ,368427
CAKE,5643097
CAL,961557
CALA,2396254
CALM,2006902
CALX,222014
CAMP,3551626
CAMT,347066
CAN,2264285
CANG,22159
CAPL,78154
CAPR,877330
CAR,7519755
CARA,7516827
CARB,2608732
CARE,503831
CARG,5935459
CARO,1143829
CARS,1235214
CART,71720
CARV,187608
CARZ,11957
CASA,3640886
CASH,1970822
CASI,607701
CASS,380005
CASY,2757792
CAT,7318897
CATB,589792
CATC,201381
CATH,30826
CATM,3267825
CATO,248804
CATS,573886
CATY,2844336
CB,3162218
CBAN,73726
CBAT,606057
CBAY,11024273
CBB,1960085
CBB$B,21916
CBD,1705819
CBFV,54179
CBH,43367
CBIO,5198955
CBL,5432252
CBL$D,225289
CBL$E,79356
CBLI,126751
CBM,48248
CBMB,32092
CBMG,559516
CBNK,134250
CBPO,610247
CBPX,820176
CBRE,3423408
CBRL,3613485
CBS,4114157
CBS.A,10621
CBSH,4155000
CBSHP,26187
CBT,687265
CBTX,477186
CBU,474953
CBZ,359962
CC,6672373
CCB,104608
CCBG,377841
CCC,3683951
CCCL,4456831
CCD,151833
CCEP,2279117
CCH,9247
CCH.U,367
CCH.W,500
CCI,5378063
CCI$A,2880
CCJ,4285324
CCK,3538100
CCL,12496080
CCLP,400530
CCM,1049
CCMP,6399152
CCNE,196508
CCO,3741530
CCOI,2615378
CCR,71063
CCRC,16106
CCRN,1958571
CCS,676019
CCU,659848
CCX,106037
CCX.U,5000
CCX.W,7500
CCXI,4914393
CCZ,49
CDAY,1970244
CDC,48797
CDE,9938748
CDEV,34363678
CDK,6108728
CDL,24891
CDLX,3451529
CDMO,3989607
CDMOP,18880
CDNA,5285506
CDNS,14745746
CDR,374704
CDR$B,1031
CDR$C,748
CDTX,1336373
CDW,9572899
CDXC,2016005
CDXS,2280853
CDZI,2320697
CE,2531374
CEA,17281
CECE,555834
CECO,4300791
CEE,8046
CEIX,839784
CEL,34791
CELC,118364
CELG.R,40806
CELH,2092953
CELP,17916
CEM,870420
CEMI,165611
CEN,823019
CENT,704918
CENTA,2941616
CENX,7996464
CEO,196926
CEPU,650190
CEQP,912768
CEQP$,396120
CERC,788078
CERN,13903675
CERS,5825830
CETV,2831079
CETX,536011
CETXP,154251
CETXW,115537
CEVA,1197585
CEY,20466
CEZ,15234
CF,6109897
CFA,62817
CFB,616477
CFBI,23899
CFBK,40363
CFFA,58004
CFFAU,19642
CFFAW,48323
CFFI,49690
CFFN,3214075
CFG,8049655
CFG$D,7595
CFG$E,134596
CFMS,1948979
CFO,122474
CFR,1158208
CFR$A,8588
CFRX,10812931
CFX,3480433
CFXA,15596
CG,5690639
CGA,23040
CGBD,3731162
CGC,8947531
CGEN,1876118
CGIX,1504093
CGNX,8353172
CGO,111315
CHA,133409
CHAP,303797
CHCI,14386
CHCO,807346
CHCT,349887
CHD,4077956
CHDN,1926403
CHE,159203
CHEF,1747574
CHEK,304796
CHEKW,67821
CHEKZ,178946
CHFS,725895
CHGG,1783126
CHH,1616028
CHI,473207
CHK,79347519
CHK$D,10741
CHKP,5727814
CHKR,59526
CHL,2473915
CHMA,2373505
CHMG,82688
CHMI,182852
CHMI$A,400
CHMI$B,1307
CHN,25383
CHNA,13294
CHNG,5960625
CHNGU,40844
CHNR,48394
CHPMU,209403
CHRA,21943
CHRS,7913791
CHRW,9530543
CHS,5970083
CHSCL,132190
CHSCM,113223
CHSCN,97002
CHSCO,155854
CHSCP,103110
CHT,108259
CHTR,9534479
CHU,544963
CHUY,857593
CHW,518798
CHWY,7511184
CHY,573570
CI,4749069
CIA,81141
CIB,751688
CIBR,460934
CID,35052
CIDM,109087
CIEN,11535828
CIF,34290
CIFS,1276544
CIG,8233412
CIG.C,2465
CIGI,223307
CIH,2314077
CII,45870
CIICU,2459828
CIL,8891
CIM,2314794
CIM$A,21906
CIM$B,6387
CIM$C,7026
CIM$D,11453
CINF,6224689
CINR,22615
CIO,643716
CIO$A,85355
CIR,229354
CISN,940345
CIT,2557283
CIT$B,29402
CIVB,379287
CIVBP,11216
CIZ,20473
CIZN,17778
CJJD,1861770
CKH,311720
CKPT,1357449
CL,8864459
CLAR,805192
CLB,2054964
CLBK,1773247
CLBS,129098
CLCT,645183
CLDB,20603
CLDR,12380262
CLDT,323478
CLDX,667227
CLF,24799105
CLFD,128492
CLGN,51955
CLGX,1012907
CLH,886249
CLI,1313977
CLIR,477772
CLLS,1055103
CLMT,1370139
CLNC,885497
CLNE,4071829
CLNY,5417478
CLNY$B,20289
CLNY$E,27368
CLNY$G,14052
CLNY$H,15675
CLNY$I,36322
CLNY$J,15556
CLOU,1692154
CLPR,62625
CLPS,566705
CLR,5211996
CLRB,499039
CLRBZ,60812
CLRG,14898
CLRO,97450
CLS,571099
CLSD,5257142
CLSN,634863
CLUB,430678
CLVS,53330607
CLW,482462
CLWT,63502
CLX,2209750
CLXT,1801019
CM,1072330
CMA,5176227
CMBM,255686
CMC,4382717
CMCM,369066
CMCO,1003395
CMCSA,143141476
CMCT,504574
CMCTP,4093
CMD,913288
CME,11006420
CMFNL,31266
CMG,836160
CMI,2497694
CMLS,980643
CMO,654365
CMO$E,33613
CMP,593058
CMPR,2824585
CMRE,1070559
CMRE$B,2094
CMRE$C,198
CMRE$D,3334
CMRE$E,619
CMRX,3771765
CMS,4112281
CMS$B,20
CMSA,2379
CMSC,7102
CMSD,25608
CMTL,1723071
CMU,44682
CNA,456854
CNAT,1924433
CNBKA,49130
CNC,10721878
CNCE,1580775
CNCR,61621
CNDT,3580285
CNET,336075
CNF,25736
CNFR,15570
CNFRL,22403
CNHI,4695582
CNI,2071071
CNK,3713110
CNMD,1896997
CNNE,1010041
CNO,2109932
CNOB,1086176
CNP,11600503
CNP$B,55338
CNQ,5300431
CNR,898667
CNS,308624
CNSL,6208555
CNSP,468897
CNST,6334775
CNTG,448615
CNTY,571010
CNX,9098025
CNXM,714248
CNXN,735652
CO,111658
COCP,432656
CODA,455963
CODI,410111
CODI$A,6832
CODI$B,2192
CODI$C,42060
CODX,389826
COE,24227
COF,4753949
COF$F,15156
COF$G,16595
COF$H,12265
COF$I,229328
COF$P,43087
COG,18648985
COHR,1853680
COHU,1938966
COKE,370956
COLB,3336369
COLD,4287987
COLL,2110528
COLM,7166407
COMM,17013607
COMT,123132
CONE,8800158
CONN,9588268
COO,811289
COOP,2974230
COP,14892432
COR,831840
CORE,2688427
CORR,232539
CORR$A,3735
CORT,7336159
CORV,27800425
COST,16096968
COT,1057174
COTY,8310005
COUP,10213631
COWN,1718179
COWNL,33003
COWNZ,56853
CP,907940
CPA,606412
CPAA,0
CPAAU,21947
CPAAW,0
CPAC,3119
CPAH,150597
CPB,5965754
CPE,34441469
CPF,239570
CPG,5887414
CPHC,8525
CPIX,70879
CPK,112592
CPL,152318
CPLG,488173
CPLP,584054
CPRI,5175176
CPRT,16958853
CPRX,19079162
CPS,619976
CPSH,52950
CPSI,818173
CPSS,41325
CPST,665585
CPT,1425004
CPTA,521414
CPTAG,14134
CPTAL,23556
CPZ,281809
CR,548488
CRAI,332935
CRBP,3535501
CRC,4448581
CRCM,1517826
CRD.A,46110
CRD.B,14770
CREE,7431759
CREG,2978400
CRESY,1824005
CREX,37144
CREXW,21507
CRH,1257279
CRI,1348506
CRIS,1106665
CRK,684780
CRL,801872
CRM,12924274
CRMT,529197
CRNC,3229903
CRNT,2651376
CRNX,633854
CRON,21835536
CROX,8034277
CRR,464313
CRS,572761
CRSA,169675
CRSAU,41566
CRSAW,45988
CRSP,6150500
CRT,29579
CRTO,1862395
CRTX,2484496
CRUS,5402778
CRVL,669405
CRVS,1504864
CRWD,27915968
CRWS,145896
CRY,352425
CRZO,31342847
CS,5353985
CSA,3670
CSB,19750
CSBR,527120
CSCO,129789780
CSF,21108
CSFL,4133961
CSGP,2357246
CSGS,2362503
CSII,1977620
CSIQ,5398969
CSL,908793
CSLT,1273932
CSML,25428
CSOD,3518218
CSPI,22648
CSQ,526304
CSS,93037
CSSE,68811
CSSEP,30795
CSTE,771824
CSTL,798297
CSTM,1775557
CSTR,361392
CSU,113505
CSV,227343
CSWC,1062404
CSWCL,15675
CSWI,402090
CSX,32799988
CTA$A,106
CTA$B,4130
CTAA,6920
CTAC,189723
CTACU,1219
CTACW,223636
CTAS,5164085
CTB,501424
CTBB,27483
CTBI,421848
CTDD,20574
CTG,153090
CTHR,170992
